Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Viet Nam,VNM,"Primary education, teachers",SE.PRM.TCHR,381432,386953,392403,396843,397098,396600,390754,377876,384737,381976,379191,380535
Viet Nam,VNM,"Primary education, pupils",SE.PRM.ENRL,7202767,7434848,7543632,7790009,7801560,8041842,8506562,8718356,8884964,9201399,9192690,8876319.52864096
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,
