Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Viet Nam,VNM,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,83.8337492903167,86.3064277183873,87.6304773371075,88.6447461101443,89.7093994425268,89.4501554566878,90.3080638471257,90.5445572317873
Viet Nam,VNM,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,94.8760643019166,93.8726930986627,94.4078377851191,96.929171698508,99.5151106974771,96.8611404229179,95.1768509933672,96.2090753212709
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,
